Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
Japan,2023,Ransomware,Healthcare,33.66,410385,Unknown,Zero-day,Encryption,71,82.02054168646515,2020-2024
Japan,2024,Ddos,Healthcare,99.28,589898,Unknown,Weak Passwords,VPN,59,168.3002824217068,2020-2024
France,2016,Man-In-The-Middle,Retail,14.86,63760,Hacker Group,Weak Passwords,VPN,8,233.06148055207026,2015-2019
Usa,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13,581.5255785102607,2015-2019
Uk,2017,Sql Injection,Government,82.03,994787,Nation-state,Unpatched Software,Encryption,56,82.45986326721197,2015-2019
India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68,106.22053299746987,2015-2019
Germany,2023,Sql Injection,Telecommunications,6.09,590760,Unknown,Unpatched Software,Firewall,32,10.30875482429413,2020-2024
Uk,2022,Ddos,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37,155.59721478307446,2020-2024
Japan,2019,Sql Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5,131.1196752780505,2015-2019
Australia,2018,Sql Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46,1235.4603404087534,2015-2019
France,2016,Sql Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17,160.34682586542456,2015-2019
France,2023,Ddos,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64,362.65869066797154,2020-2024
Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11,133.01067997518624,2015-2019
Uk,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23,35.4051145141079,2020-2024
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5,66.25967397161315,2015-2019
France,2017,Sql Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29,290.97469093224385,2015-2019
Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6,230.76718803940835,2015-2019
Russia,2019,Man-In-The-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46,192.96351083856632,2015-2019
Russia,2024,Ddos,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31,151.27532934329196,2020-2024
Uk,2022,Ddos,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4,178.35696488429204,2020-2024
Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48,197.53191179857689,2015-2019
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33,40.25407155931726,2015-2019
Usa,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48,249.5096406498649,2020-2024
China,2015,Ddos,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57,919.1008837881625,2015-2019
France,2018,Ddos,IT,75.88,822364,Unknown,Zero-day,VPN,71,92.27057604661682,2015-2019
India,2021,Sql Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20,125.93952559710398,2020-2024
Brazil,2023,Man-In-The-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57,128.06124039576125,2020-2024
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26,46.617865772808074,2020-2024
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63,90.14480761274307,2020-2024
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21,255.19332827899925,2020-2024
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19,276.633910976975,2020-2024
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33,67.86305244835033,2020-2024
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38,26.52525928099713,2020-2024
Brazil,2017,Man-In-The-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52,763.6668588500446,2015-2019
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67,3.226807040347586,2015-2019
China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17,102.16828576211961,2015-2019
India,2022,Man-In-The-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32,97.82970289355005,2020-2024
India,2017,Sql Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29,91.94411605411355,2015-2019
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17,60.09470210847855,2020-2024
Russia,2015,Ddos,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62,156.71696468855203,2015-2019
Brazil,2022,Man-In-The-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32,489.11969976297075,2020-2024
France,2018,Ddos,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4,75.6751114623563,2015-2019
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72,260.4130964192297,2020-2024
Usa,2016,Man-In-The-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26,24.51538799932386,2015-2019
Uk,2020,Ddos,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67,125.38843679106783,2020-2024
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24,55.55952452917287,2015-2019
Japan,2017,Sql Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22,740.7821229050279,2015-2019
Uk,2021,Ddos,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26,11.973918037037691,2020-2024
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40,1010.3554436048139,2015-2019
Australia,2018,Ddos,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55,168.5444582619412,2015-2019
Usa,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29,70.48792572656443,2015-2019
France,2019,Ddos,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29,60.55881739855475,2015-2019
France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10,74.89608791557747,2020-2024
India,2024,Sql Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49,47.986578753754806,2020-2024
Uk,2017,Man-In-The-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10,204.7864510068745,2015-2019
Uk,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51,5.559033604971916,2020-2024
Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70,1527.1711741978834,2015-2019
China,2024,Man-In-The-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26,220.59226761721962,2020-2024
Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56,138.19771257016203,2020-2024
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47,143.984866472135,2020-2024
France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3,180.75464254880214,2015-2019
Uk,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3,78.02625120485452,2020-2024
Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61,212.51698995107546,2020-2024
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53,2714.3803843605037,2020-2024
India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2,860.4334256450833,2015-2019
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34,41.44223069394348,2020-2024
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2,18.3431687122759,2020-2024
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38,99.50439780493711,2020-2024
China,2024,Ddos,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51,7.517428401893445,2020-2024
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54,19.163722559225814,2020-2024
Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20,78.30674538374576,2015-2019
Uk,2016,Man-In-The-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28,143.44096120153964,2015-2019
Australia,2024,Man-In-The-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72,304.2973848310533,2020-2024
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44,69.63249516441006,2020-2024
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72,30.099524677277536,2015-2019
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31,496.9761120559869,2020-2024
Japan,2022,Man-In-The-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67,85.90942116735287,2020-2024
Australia,2021,Man-In-The-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31,172.1687619967712,2020-2024
Uk,2018,Sql Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10,172.66354666828744,2015-2019
France,2022,Ddos,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65,69.65691042532497,2020-2024
Australia,2018,Ddos,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2,22.330766956159852,2015-2019
Germany,2018,Sql Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56,104.96385332761214,2015-2019
India,2022,Sql Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64,93.47749586727889,2020-2024
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39,133.43541669448734,2015-2019
Uk,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45,11.193854599917547,2020-2024
Uk,2019,Man-In-The-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4,179.7867057627279,2015-2019
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66,85.1046706972346,2020-2024
Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71,100.76087862042154,2020-2024
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57,115.91972466281834,2015-2019
Germany,2022,Sql Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3,232.6590526169482,2020-2024
Usa,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27,187.42309251659069,2015-2019
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44,695.1436031331592,2015-2019
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16,103.53024133930805,2015-2019
Russia,2017,Man-In-The-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29,26.24573773848633,2015-2019
Brazil,2016,Sql Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45,195.01640867772196,2015-2019
Brazil,2017,Man-In-The-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54,331.74746796649254,2015-2019
Russia,2024,Sql Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42,128.72558626440176,2020-2024
Uk,2021,Man-In-The-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16,151.98128558952698,2020-2024
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67,36.83820896289362,2020-2024
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40,646.1278240908541,2015-2019
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55,38.43852010025889,2020-2024
Usa,2017,Sql Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44,1787.183599470051,2015-2019
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44,142.5362634188798,2020-2024
Australia,2018,Sql Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44,111.2939520982457,2015-2019
Uk,2015,Sql Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36,41.057397648106715,2015-2019
Japan,2021,Ddos,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7,16.759493385744292,2020-2024
Usa,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2,101.00726953336697,2015-2019
Usa,2021,Man-In-The-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8,51.73810170470255,2020-2024
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13,467.6304272047717,2015-2019
Brazil,2020,Man-In-The-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19,460.423576784585,2020-2024
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34,106.59375262817166,2015-2019
Germany,2023,Sql Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37,221.52455222638272,2020-2024
Uk,2016,Man-In-The-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36,4628.779782485698,2015-2019
Uk,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31,96.21168166841436,2020-2024
Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7,19.299152970439494,2020-2024
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12,209.09321716484882,2020-2024
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3,383.6736017643148,2020-2024
Japan,2024,Ddos,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10,9.918713720349377,2020-2024
Brazil,2015,Sql Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37,132.85882905047,2015-2019
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46,45.71346545886685,2015-2019
Uk,2024,Sql Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60,75.62255816716639,2020-2024
France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15,424.23078877677204,2020-2024
Australia,2020,Man-In-The-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11,138.39895451552997,2020-2024
Uk,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50,26.59499730790285,2020-2024
Usa,2019,Sql Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4,47.10331786144061,2015-2019
Germany,2020,Sql Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50,73.51330380091875,2020-2024
Usa,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47,7270.754716981132,2015-2019
France,2016,Sql Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26,18.43949391939794,2015-2019
India,2023,Sql Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28,115.25043756219083,2020-2024
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47,746.1829509073604,2020-2024
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38,23.825629912539586,2015-2019
Japan,2018,Sql Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59,26.013680243901312,2015-2019
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61,75.42598092856026,2020-2024
Germany,2016,Sql Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16,37.399885894962395,2015-2019
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33,555.708246626618,2020-2024
Usa,2017,Man-In-The-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29,148.50173952352787,2015-2019
Usa,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16,1912.4787052810902,2015-2019
Brazil,2017,Sql Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21,62.42563350656728,2015-2019
Brazil,2018,Ddos,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35,118.95392771117176,2015-2019
France,2015,Man-In-The-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71,92.93710687416937,2015-2019
China,2022,Ddos,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56,89.79247909914534,2020-2024
Usa,2019,Ddos,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27,1034.0674248475398,2015-2019
Australia,2017,Ddos,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66,77.53306357439644,2015-2019
Germany,2021,Ddos,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67,30.627789678509554,2020-2024
Japan,2023,Man-In-The-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4,158.57712909682803,2020-2024
China,2016,Ddos,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60,87.85248129691078,2015-2019
Usa,2019,Man-In-The-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33,19.18985580289643,2015-2019
Uk,2016,Ddos,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28,51.70320843635929,2015-2019
China,2020,Ddos,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47,143.7719276724159,2020-2024
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56,3.6383432871218817,2015-2019
Usa,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68,775.8421336622215,2015-2019
France,2017,Man-In-The-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46,15.911464746393118,2015-2019
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,31.457120013281894,2015-2019
Usa,2018,Sql Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23,131.6743782227069,2015-2019
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29,9.521736764785897,2015-2019
Uk,2019,Ddos,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13,566.7323661890134,2015-2019
Russia,2022,Man-In-The-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39,61.08540197305726,2020-2024
India,2017,Ddos,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23,1044.4997685561657,2015-2019
Usa,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35,165.64292332890116,2015-2019
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41,331.65316409199437,2020-2024
Japan,2017,Sql Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64,69.09046911404737,2015-2019
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32,378.0704665152173,2015-2019
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56,566.5559915484455,2020-2024
Germany,2016,Sql Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51,65.052523847034,2015-2019
Usa,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11,151.0676893720656,2015-2019
Russia,2021,Ddos,Banking,45.6,759356,Insider,Social Engineering,VPN,1,60.0508852237949,2020-2024
Brazil,2021,Ddos,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9,104.14414739016598,2020-2024
India,2021,Sql Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,80.88208539861805,2020-2024
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,69.71221011455714,2020-2024
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60,96.44360839708791,2015-2019
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,71.06102530117684,2020-2024
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5,69.57423253528763,2015-2019
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31,505.45666372826486,2020-2024
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49,12.207932944832086,2020-2024
India,2018,Sql Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,59.53647338187758,2015-2019
Germany,2020,Man-In-The-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,41.68173729365297,2020-2024
China,2024,Ddos,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,148.9890720324079,2020-2024
France,2021,Man-In-The-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11,177.94030048315574,2020-2024
Usa,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11,15.271804639950002,2015-2019
Brazil,2022,Sql Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2,40.897951305332874,2020-2024
Brazil,2015,Ddos,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,300.3358316838289,2015-2019
India,2022,Ddos,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,141.2202468844132,2020-2024
Japan,2023,Man-In-The-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72,136.7982171250985,2020-2024
Uk,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43,113.69216511523675,2020-2024
Japan,2021,Man-In-The-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,79.41382370469456,2020-2024
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58,52.867821181279446,2015-2019
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,360.6284333969689,2020-2024
France,2020,Ddos,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17,7.85149810133653,2020-2024
Uk,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,344.0988277053851,2015-2019
France,2019,Man-In-The-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31,135.28260873435366,2015-2019
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,186.1607856492518,2015-2019
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,161.34026084190435,2015-2019
Japan,2018,Sql Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66,2083.4713481285194,2015-2019
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,115.95163579598787,2015-2019
Germany,2019,Ddos,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66,30.033083159309545,2015-2019
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66,192.26509071939515,2015-2019
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,81.62700294783089,2015-2019
Uk,2023,Ddos,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35,91.8500733626784,2020-2024
Uk,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10,135.04142183834063,2020-2024
Usa,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21,120.90405710499957,2020-2024
Usa,2020,Sql Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33,50.94823435441309,2020-2024
Japan,2022,Ddos,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,115.52346570397111,2020-2024
Germany,2022,Sql Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37,13.420236457337406,2020-2024
Uk,2020,Sql Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,65.36718476822554,2020-2024
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,46.48555349962467,2020-2024
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46,103.50592599365802,2015-2019
France,2015,Man-In-The-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60,22.181063751394046,2015-2019
Russia,2018,Man-In-The-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10,76.0204183366234,2015-2019
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,202.9818620888784,2020-2024
Usa,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70,281.8823283166356,2020-2024
Australia,2024,Sql Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37,93.76344086021504,2020-2024
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,8.121904761904762,2015-2019
India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63,320.70149619818494,2020-2024
Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3,135.12305481251246,2015-2019
India,2023,Ddos,Banking,23.83,557428,Insider,Unpatched Software,VPN,38,42.74991568417805,2020-2024
Japan,2015,Ddos,Banking,59.13,182440,Insider,Zero-day,Firewall,8,324.1065555799167,2015-2019
Australia,2021,Ddos,Government,30.24,292383,Insider,Social Engineering,Encryption,71,103.42598577892696,2020-2024
France,2017,Ddos,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,870.5679448098829,2015-2019
Usa,2015,Ddos,IT,66.39,365006,Insider,Weak Passwords,VPN,47,181.88742102869543,2015-2019
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,100.93702461238101,2015-2019
Usa,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11,8.850499445831472,2020-2024
Usa,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26,16.072854879469954,2015-2019
China,2016,Ddos,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27,162.84642381701562,2015-2019
Usa,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35,19.26810527365402,2015-2019
Australia,2016,Man-In-The-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15,896.9648053354856,2015-2019
France,2023,Man-In-The-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,16.690206406349002,2020-2024
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,329.5601141050566,2015-2019
Russia,2021,Ddos,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,78.59333246636659,2020-2024
Usa,2024,Sql Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24,23.03211380423343,2020-2024
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7,97.74790488293092,2015-2019
Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8,61.905727050819976,2015-2019
France,2018,Ddos,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4,17.36352885263658,2015-2019
Usa,2022,Sql Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,229.26892877434497,2020-2024
Usa,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,60.259075569145864,2015-2019
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44,68.62071709136492,2020-2024
Uk,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44,212.79600469884392,2015-2019
France,2021,Sql Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28,270.752448835688,2020-2024
Australia,2017,Sql Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,6.131572620889115,2015-2019
